Ticker,Company
7108.KL,PERDANA
5113.KL,RSAWIT
5195.KL,CENSOF
7229.KL,FAVCO
2674.KL,ALCOM
0101.KL,TMCLIFE
9466.KL,KKB
0065.KL,EFORCE
0186.KL,PTRANS
5112.KL,THPLANT
3057.KL,SANCY
5021.KL,AYS
2739.KL,TECHNAX
6815.KL,EUPE
7528.KL,DKLS
5131.KL,ZHULIAN
0216.KL,SPRING
5277.KL,FPGROUP
0269.KL,DSS
9199.KL,LYSAGHT
3028.KL,GOINNO
5208.KL,EITA
6599.KL,AEON
5211.KL,SUNWAY
7773.KL,EPMB
1058.KL,MANULFE
5232.KL,LEONFB
5180.KL,CLMT
5143.KL,LUXCHEM
8311.KL,PESONA
7005.KL,BIG
8524.KL,TALIWRK
4006.KL,ORIENT
6874.KL,KUB
5121.KL,HEKTAR
5210.KL,ARMADA
0228.KL,HPPHB
0286.KL,EMCC
7247.KL,SCGM
5274.KL,HLCAP
3794.KL,MCEMENT
0056.KL,NCT
9873.KL,PRESTAR
8435.KL,CEPCO
8583.KL,MAHSING
7129.KL,ASIAFLE
7048.KL,ATLAN
9326.KL,LBALUM
1724.KL,PARAMON
5102.KL,GCB
5129.KL,MELATI
5028.KL,HTPADU
5116.KL,ALAQAR
7197.KL,GESHEN
7208.KL,EURO
1929.KL,CHINTEK
5110.KL,UOAREIT
0172.KL,OCK
0220.KL,OVH
7248.KL,SLP
0197.KL,WEGMANS
5109.KL,YTLREIT
5072.KL,HIAPTEK
9881.KL,LSTEEL
7162.KL,ASTINO
7692.KL,MYTECH
0090.KL,ELSOFT
4502.KL,MEDIA
5191.KL,TAMBUN
3816.KL,MISC
5123.KL,SENTRAL
9091.KL,EMICO
0205.KL,DPIH
5094.KL,CSCSTEL
7207.KL,SUCCESS
0021.KL,GHLSYS
0148.KL,SUNZEN
0230.KL,TELADAN
5200.KL,UOADEV
5252.KL,SASBADI
5260.KL,OWG
9121.KL,KPSCB
3859.KL,MAGNUM
4065.KL,PPB
5286.KL,MI
0008.KL,WILLOW
3033.KL,SGBHD
0054.KL,KARYON
0297.KL,TSA
1694.KL,MENANG
7253.KL,HANDAL
0271.KL,WELLS
1171.KL,MBSB
7204.KL,D&O
8982.KL,CEPAT
3417.KL,E&O
5533.KL,OCB
8745.KL,S&FCAP
7235.KL,SUPERLN
0198.KL,GDB
7088.KL,POHUAT
0108.KL,N2N
2291.KL,GENP
7412.KL,SHH
5347.KL,TENAGA
6114.KL,MKH
5138.KL,HSPLANT
5305.KL,SENHENG
5291.KL,HPMT
7137.KL,UMS
5069.KL,BLDPLNT
0290.KL,PANDA
9059.KL,TSH
1899.KL,BKAWAN
7131.KL,ACME
0232.KL,VOLCANO
5054.KL,TRC
0127.KL,JHM
0288.KL,MINOX
0171.KL,PLABS
6399.KL,ASTRO
